method,sample_size,portfolio_id,confidence_level,var,cvar,runtime,num_qubits,circuit_depth
monte_carlo,1000.0,0,0.95,0.017457214023164122,0.0215935960699895,0.007420778274536133,,
monte_carlo,1000.0,0,0.99,0.02507826430509144,0.02725704987808089,0.007420778274536133,,
monte_carlo,1000.0,1,0.95,0.018756120170694293,0.023153042152846196,0.00099945068359375,,
monte_carlo,1000.0,1,0.99,0.026499477881015268,0.030280138324313238,0.00099945068359375,,
monte_carlo,1000.0,2,0.95,0.01513657360996076,0.019378741269397818,0.002000093460083008,,
monte_carlo,1000.0,2,0.99,0.021658130574526455,0.02560264312721102,0.002000093460083008,,
monte_carlo,1000.0,3,0.95,0.014062772626971958,0.018661867016717838,0.0010044574737548828,,
monte_carlo,1000.0,3,0.99,0.020804549669464274,0.023920535264629877,0.0010044574737548828,,
monte_carlo,1000.0,4,0.95,0.015989799871647704,0.019993925141808044,0.0020029544830322266,,
monte_carlo,1000.0,4,0.99,0.022703353107839063,0.025073927941159757,0.0020029544830322266,,
monte_carlo,1000.0,5,0.95,0.018172853002679082,0.024084235692255946,0.0019931793212890625,,
monte_carlo,1000.0,5,0.99,0.0278643243355271,0.03198179927081331,0.0019931793212890625,,
monte_carlo,1000.0,6,0.95,0.016528731362638206,0.02019076233043081,0.0009992122650146484,,
monte_carlo,1000.0,6,0.99,0.021613060098871022,0.026584915508909734,0.0009992122650146484,,
monte_carlo,1000.0,7,0.95,0.017081071985172468,0.02059146986628636,0.0010173320770263672,,
monte_carlo,1000.0,7,0.99,0.0223215438939427,0.02574876508009063,0.0010173320770263672,,
monte_carlo,1000.0,8,0.95,0.013981526427498739,0.018558456209050878,0.0010001659393310547,,
monte_carlo,1000.0,8,0.99,0.020423375705894538,0.027011095035474324,0.0010001659393310547,,
monte_carlo,1000.0,9,0.95,0.013742697094743727,0.017922286156456947,0.0009832382202148438,,
monte_carlo,1000.0,9,0.99,0.02032174166248718,0.02411274058156454,0.0009832382202148438,,
monte_carlo,1000.0,10,0.95,0.01519464146848767,0.01833070085368482,0.0020093917846679688,,
monte_carlo,1000.0,10,0.99,0.020164015977805927,0.02301267624883537,0.0020093917846679688,,
monte_carlo,1000.0,11,0.95,0.014132101394494218,0.01804474236926764,0.0009903907775878906,,
monte_carlo,1000.0,11,0.99,0.02112729098574233,0.023375374705026274,0.0009903907775878906,,
monte_carlo,1000.0,12,0.95,0.014274123681776262,0.01895527355587845,0.0,,
monte_carlo,1000.0,12,0.99,0.021239979543406423,0.025295492686862688,0.0,,
monte_carlo,1000.0,13,0.95,0.01668805289493941,0.022054356934170433,0.0020170211791992188,,
monte_carlo,1000.0,13,0.99,0.024433110201013065,0.027997585179100327,0.0020170211791992188,,
monte_carlo,1000.0,14,0.95,0.014524330864989242,0.01876533126183739,0.00099945068359375,,
monte_carlo,1000.0,14,0.99,0.021471557471330883,0.025104864723435046,0.00099945068359375,,
monte_carlo,1000.0,15,0.95,0.015600688046954247,0.01924000083105871,0.0010004043579101562,,
monte_carlo,1000.0,15,0.99,0.02158807149007297,0.023907569806301824,0.0010004043579101562,,
monte_carlo,1000.0,16,0.95,0.01621348076354309,0.02079103881368097,0.001983642578125,,
monte_carlo,1000.0,16,0.99,0.02352791193537613,0.027903993986262098,0.001983642578125,,
monte_carlo,1000.0,17,0.95,0.016563937407103893,0.02075156469368651,0.0010242462158203125,,
monte_carlo,1000.0,17,0.99,0.022980555877603132,0.02585486369783253,0.0010242462158203125,,
monte_carlo,1000.0,18,0.95,0.01579992862440416,0.019464928275341443,0.0009775161743164062,,
monte_carlo,1000.0,18,0.99,0.021625585006334474,0.023677971186922584,0.0009775161743164062,,
monte_carlo,1000.0,19,0.95,0.01697041716640125,0.020802702909917054,0.0013043880462646484,,
monte_carlo,1000.0,19,0.99,0.02281422904005616,0.026786748697285027,0.0013043880462646484,,
monte_carlo,5000.0,0,0.95,0.0176754674886011,0.022422628662857526,0.003001689910888672,,
monte_carlo,5000.0,0,0.99,0.02538120155383783,0.029068923371483955,0.003001689910888672,,
monte_carlo,5000.0,1,0.95,0.018035769190192445,0.022823491403784778,0.0029773712158203125,,
monte_carlo,5000.0,1,0.99,0.025754247697795444,0.029699450981514327,0.0029773712158203125,,
monte_carlo,5000.0,2,0.95,0.01515106369198722,0.0192453849851342,0.003000020980834961,,
monte_carlo,5000.0,2,0.99,0.02178107169600676,0.02465757904800301,0.003000020980834961,,
monte_carlo,5000.0,3,0.95,0.013332958944980485,0.017036846453376032,0.002001523971557617,,
monte_carlo,5000.0,3,0.99,0.01962622198332744,0.022041299521062627,0.002001523971557617,,
monte_carlo,5000.0,4,0.95,0.015092981356967098,0.019049973144684304,0.0030198097229003906,,
monte_carlo,5000.0,4,0.99,0.02150472228590156,0.024509735602872125,0.0030198097229003906,,
monte_carlo,5000.0,5,0.95,0.017842301709192827,0.023252188615653313,0.003978252410888672,,
monte_carlo,5000.0,5,0.99,0.026821050806278827,0.031054965995301265,0.003978252410888672,,
monte_carlo,5000.0,6,0.95,0.01631456448883919,0.020800054501009312,0.0020012855529785156,,
monte_carlo,5000.0,6,0.99,0.023775079368319015,0.027221180205485,0.0020012855529785156,,
monte_carlo,5000.0,7,0.95,0.015899059080836584,0.02046405498164338,0.002999544143676758,,
monte_carlo,5000.0,7,0.99,0.02304662958560679,0.026285162033009454,0.002999544143676758,,
monte_carlo,5000.0,8,0.95,0.014723517170660255,0.01858726866265554,0.0032045841217041016,,
monte_carlo,5000.0,8,0.99,0.021040526506577076,0.024443965491099392,0.0032045841217041016,,
